time,data,data2,data3,data4
1,,234,345,456
2,22761,,345,456
3,22757,234,,456
4,22894,234,345,
5,22847,234,345,456
6,22652,234,345,456
7,22695,234,345,456
8,23150,234,345,456
9,23122,234,345,456
10,23079,234,345,456
11,23183,234,345,456
12,23216,234,345,456
13,23453,234,345,456
14,23302,234,345,456
15,22989,234,345,456
16,23197,234,345,456
17,23079,234,345,456
18,22610,234,345,456
19,22752,234,345,456
20,22586,234,345,456
21,22373,234,345,456
22,22529,234,345,456
23,22278,234,345,456
24,22212,234,345,456
25,22524,234,345,456
26,22311,234,345,456
27,22079,234,345,456
28,22060,234,345,456
29,22178,234,345,456
30,21671,234,345,456
31,21619,234,345,456
32,22088,234,345,456
33,22207,234,345,456
34,21927,234,345,456
35,22235,234,345,456
36,22268,234,345,456
37,22302,234,345,456
38,22463,234,345,456
39,22306,234,345,456
40,22050,234,345,456
41,22458,234,345,456
42,22515,234,345,456
43,21908,234,345,456
44,21747,234,345,456
45,22031,234,345,456
46,22354,234,345,456
47,22382,234,345,456
48,22572,234,345,456
49,22619,234,345,456
50,22657,234,345,456
51,22662,234,345,456
52,22643,234,345,456
53,22667,234,345,456
54,22714,234,345,456
55,22686,234,345,456
56,23032,234,345,456
57,23103,234,345,456
58,23107,234,345,456
59,23155,234,345,456
60,22994,234,345,456
61,23093,234,345,456
62,23306,234,345,456
63,23359,234,345,456
64,23340,234,345,456
65,23321,234,345,456
66,23382,234,345,456
67,23510,234,345,456
68,23524,234,345,456
69,23496,234,345,456
70,23615,234,345,456
71,23596,234,345,456
72,23534,234,345,456
73,23491,234,345,456
74,23529,234,345,456
75,23652,234,345,456
76,23757,234,345,456
77,23657,234,345,456
78,23321,234,345,456
79,23363,234,345,456
80,23169,234,345,456
81,23287,234,345,456
82,23302,234,345,456
83,23254,234,345,456
84,23273,234,345,456
85,23458,234,345,456
86,23937,234,345,456
87,23918,234,345,456
88,23837,234,345,456
89,23870,234,345,456
90,23790,234,345,456
91,23975,234,345,456
92,23885,234,345,456
93,23856,234,345,456
94,23927,234,345,456
95,23927,234,345,456
96,23681,234,345,456
97,23603,234,345,456
98,23425,234,345,456
99,23497,234,345,456
100,23376,234,345,456
101,23338,234,345,456
102,23430,234,345,456
103,23405,234,345,456
104,23352,234,345,456
105,23169,234,345,456
106,23203,234,345,456
107,23217,234,345,456
108,23087,234,345,456
109,23024,234,345,456
110,23024,234,345,456
111,23087,234,345,456
112,22923,234,345,456
113,23246,234,345,456
114,23203,234,345,456
115,23323,234,345,456
116,23270,234,345,456
117,23459,234,345,456
118,23473,234,345,456
119,23516,234,345,456
120,23555,234,345,456
121,23869,234,345,456
122,24110,234,345,456
123,24100,234,345,456
124,24004,234,345,456
125,23507,234,345,456
126,23430,234,345,456
127,23420,234,345,456
128,23241,234,345,456
129,23280,234,345,456
130,23603,234,345,456
131,23603,234,345,456
132,23738,234,345,456
133,23753,234,345,456
134,22990,234,345,456
135,23053,234,345,456
136,23111,234,345,456
137,23386,234,345,456
138,23555,234,345,456
139,23748,234,345,456
140,23830,234,345,456
141,23801,234,345,456
142,23323,234,345,456
143,23589,234,345,456
144,23468,234,345,456
145,23816,234,345,456
146,23816,234,345,456
147,23975,234,345,456
148,24018,234,345,456
149,24139,234,345,456
150,24183,234,345,456
151,24149,234,345,456
152,24105,234,345,456
153,24129,234,345,456
154,24115,234,345,456
155,24129,234,345,456
156,24342,234,345,456
157,24327,234,345,456
158,24274,234,345,456
159,24255,234,345,456
160,24453,234,345,456
161,24265,234,345,456
162,23956,234,345,456
163,24009,234,345,456
164,24269,234,345,456
165,24453,234,345,456
166,24641,234,345,456
167,24559,234,345,456
168,24588,234,345,456
169,24675,234,345,456
170,24661,234,345,456
171,24641,234,345,456
172,24820,234,345,456
173,24878,234,345,456
174,24733,234,345,456
175,24863,234,345,456
176,24748,234,345,456
177,24791,234,345,456
178,24694,234,345,456
179,24699,234,345,456
180,24801,234,345,456
181,24709,234,345,456
182,24646,234,345,456
183,24694,234,345,456
184,25008,234,345,456
185,25100,234,345,456
186,25052,234,345,456
187,25047,234,345,456
188,24752,234,345,456
189,24129,234,345,456
190,24216,234,345,456
