time,data,data2,data3,data4
5,22847.0,234.0,345.0,456.0
6,22652.0,234.0,345.0,456.0
7,22695.0,234.0,345.0,456.0
8,23150.0,234.0,345.0,456.0
9,23122.0,234.0,345.0,456.0
10,23079.0,234.0,345.0,456.0
11,23183.0,234.0,345.0,456.0
12,23216.0,234.0,345.0,456.0
13,23453.0,234.0,345.0,456.0
14,23302.0,234.0,345.0,456.0
15,22989.0,234.0,345.0,456.0
16,23197.0,234.0,345.0,456.0
17,23079.0,234.0,345.0,456.0
18,22610.0,234.0,345.0,456.0
19,22752.0,234.0,345.0,456.0
20,22586.0,234.0,345.0,456.0
21,22373.0,234.0,345.0,456.0
22,22529.0,234.0,345.0,456.0
23,22278.0,234.0,345.0,456.0
24,22212.0,234.0,345.0,456.0
25,22524.0,234.0,345.0,456.0
26,22311.0,234.0,345.0,456.0
27,22079.0,234.0,345.0,456.0
28,22060.0,234.0,345.0,456.0
29,22178.0,234.0,345.0,456.0
30,21671.0,234.0,345.0,456.0
31,21619.0,234.0,345.0,456.0
32,22088.0,234.0,345.0,456.0
33,22207.0,234.0,345.0,456.0
34,21927.0,234.0,345.0,456.0
35,22235.0,234.0,345.0,456.0
36,22268.0,234.0,345.0,456.0
37,22302.0,234.0,345.0,456.0
38,22463.0,234.0,345.0,456.0
39,22306.0,234.0,345.0,456.0
40,22050.0,234.0,345.0,456.0
41,22458.0,234.0,345.0,456.0
42,22515.0,234.0,345.0,456.0
43,21908.0,234.0,345.0,456.0
44,21747.0,234.0,345.0,456.0
45,22031.0,234.0,345.0,456.0
46,22354.0,234.0,345.0,456.0
47,22382.0,234.0,345.0,456.0
48,22572.0,234.0,345.0,456.0
49,22619.0,234.0,345.0,456.0
50,22657.0,234.0,345.0,456.0
51,22662.0,234.0,345.0,456.0
52,22643.0,234.0,345.0,456.0
53,22667.0,234.0,345.0,456.0
54,22714.0,234.0,345.0,456.0
55,22686.0,234.0,345.0,456.0
56,23032.0,234.0,345.0,456.0
57,23103.0,234.0,345.0,456.0
58,23107.0,234.0,345.0,456.0
59,23155.0,234.0,345.0,456.0
60,22994.0,234.0,345.0,456.0
61,23093.0,234.0,345.0,456.0
62,23306.0,234.0,345.0,456.0
63,23359.0,234.0,345.0,456.0
64,23340.0,234.0,345.0,456.0
65,23321.0,234.0,345.0,456.0
66,23382.0,234.0,345.0,456.0
67,23510.0,234.0,345.0,456.0
68,23524.0,234.0,345.0,456.0
69,23496.0,234.0,345.0,456.0
70,23615.0,234.0,345.0,456.0
71,23596.0,234.0,345.0,456.0
72,23534.0,234.0,345.0,456.0
73,23491.0,234.0,345.0,456.0
74,23529.0,234.0,345.0,456.0
75,23652.0,234.0,345.0,456.0
76,23757.0,234.0,345.0,456.0
77,23657.0,234.0,345.0,456.0
78,23321.0,234.0,345.0,456.0
79,23363.0,234.0,345.0,456.0
80,23169.0,234.0,345.0,456.0
81,23287.0,234.0,345.0,456.0
82,23302.0,234.0,345.0,456.0
83,23254.0,234.0,345.0,456.0
84,23273.0,234.0,345.0,456.0
85,23458.0,234.0,345.0,456.0
86,23937.0,234.0,345.0,456.0
87,23918.0,234.0,345.0,456.0
88,23837.0,234.0,345.0,456.0
89,23870.0,234.0,345.0,456.0
90,23790.0,234.0,345.0,456.0
91,23975.0,234.0,345.0,456.0
92,23885.0,234.0,345.0,456.0
93,23856.0,234.0,345.0,456.0
94,23927.0,234.0,345.0,456.0
95,23927.0,234.0,345.0,456.0
96,23681.0,234.0,345.0,456.0
97,23603.0,234.0,345.0,456.0
98,23425.0,234.0,345.0,456.0
99,23497.0,234.0,345.0,456.0
